question,response,label
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,banana,food
what do you like to eat?,tomato,food
what is your favorite animal?,caiman,animal
what is your name?,shravya,name
what do you like to eat?,gruyere,food
what is your name?,arti,name
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,common,animal
what do you like to eat?,tomato,food
what do you like to eat?,strawberries,food
what is your favorite color?,shamrock green,color
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,fandango pink,color
what do you like to eat?,tea,food
what do you like to eat?,carrot,food
what is your favorite animal?,potatoes-steamed,invalid
what is your name?,nazy,name
what do you like to eat?,rice,food
what is your favorite animal?,chickadee,animal
what is your favorite animal?,sun,animal
what do you like to eat?,cheese,food
what is your favorite animal?,badger,animal
what is your favorite animal?,rice,invalid
what do you like to eat?,butter,food
what do you like to eat?,butter,food
what do you like to eat?,anarsa,food
what is your favorite color?,pastel purple,color
what do you like to eat?,soft-cheese,food
what do you like to eat?,sweet-pepper,food
what is your favorite color?,maximum yellow red,color
what is your favorite animal?,mammoth,animal
what do you like to eat?,salami,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,tea-green,food
what is your favorite animal?,hawk,animal
what do you like to eat?,chips-french-fries,food
what do you like to eat?,mayonnaise,food
what do you like to eat?,wine-white,food
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,fox,animal
what do you like to eat?,rice,food
what is your favorite color?,blue-gray,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,salami,food
what do you like to eat?,bread-wholemeal,food
what is your name?,kaushiki,name
what is your favorite color?,pastel green,color
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,leopard,animal
what is your favorite animal?,cattle,animal
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,chips-french-fries,food
what do you like to eat?,wine-red,food
what is your name?,snoopi,name
what is your favorite animal?,turtle,animal
what is your name?,lirthika,name
what is your favorite animal?,shark,animal
what is your favorite animal?,raccoon,animal
what is your favorite animal?,hamster,animal
what do you like to eat?,wine-white,food
what do you like to eat?,chicken,food
what do you like to eat?,rice,food
what do you like to eat?,almonds,food
what do you like to eat?,tea-green,food
what do you like to eat?,strawberries,food
what is your favorite color?,rosy brown,color
what do you like to eat?,wine-red,food
what is your favorite animal?,frog,animal
what do you like to eat?,banana,food
what is your name?,bimala,name
what is your favorite animal?,albatross,animal
what do you like to eat?,pasta-spaghetti,food
what is your favorite animal?,monster,animal
what is your favorite color?,trolley grey,color
what do you like to eat?,leaf-spinach,food
what do you like to eat?,onion,food
what do you like to eat?,strawberries,food
what is your favorite color?,tahreem,invalid
what do you like to eat?,water-mineral,food
what do you like to eat?,kaju katli,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,shatakshi,invalid
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,butter,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,bread-whole-wheat,food
what is your name?,shivangi,name
what is your name?,yashika,name
what is your favorite animal?,gorilla,animal
what is your name?,charvitha,name
what do you like to eat?,parmesan,food
what do you like to eat?,butter,food
what is your favorite animal?,pheasant,animal
what do you like to eat?,bread-whole-wheat,food
what is your favorite animal?,radiated,animal
what is your favorite color?,wild watermelon,color
what do you like to eat?,boisson-au-glucose-50g,food
what is your favorite animal?,bulldog,animal
what is your favorite color?,café noir,color
what do you like to eat?,apple,food
what is your favorite animal?,wren,animal
what is your favorite animal?,broccoli,invalid
what is your name?,ajaib,name
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,salad-leaf-salad-green,food
what is your name?,rama,name
what do you like to eat?,soft-cheese,food
what do you like to eat?,tea,food
what is your name?,ati,name
what do you like to eat?,rice,food
what is your favorite animal?,leech,animal
what do you like to eat?,wine-red,food
what do you like to eat?,tandoori chicken,food
what do you like to eat?,zucchini,food
what do you like to eat?,strawberries,food
what is your favorite color?,misty rose,color
what is your name?,thirukural,name
what is your favorite animal?,junglefowl,animal
what do you like to eat?,bread-french-white-flour,food
what is your favorite color?,pale chestnut,color
what is your favorite color?,forest green (traditional),color
what do you like to eat?,parmesan,food
what is your favorite color?,royal fuchsia,color
what do you like to eat?,strawberries,food
what is your name?,aswathy,name
what is your favorite animal?,frog,animal
what do you like to eat?,pattor,food
what is your favorite color?,peach-yellow,color
what is your favorite animal?,dog,animal
what is your favorite color?,tomato,invalid
what is your name?,ranchi,name
what do you like to eat?,croissant,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite color?,safety orange (blaze orange),color
what do you like to eat?,cucumber,food
what is your name?,chandran,name
what is your favorite animal?,turtle,animal
what is your favorite animal?,ferret,animal
what do you like to eat?,carrot,food
what is your favorite color?,sea serpent,color
what do you like to eat?,wine-red,food
what is your favorite color?,blue yonder,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,bread-whole-wheat,food
what is your favorite color?,harlequin green,color
what is your name?,vatsal,name
what do you like to eat?,rice,food
what is your favorite animal?,leopard,animal
what do you like to eat?,water,invalid
what do you like to eat?,cheese,food
what is your name?,mahesh,name
what do you like to eat?,rice,food
what is your favorite animal?,dog,animal
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,beer,food
what is your name?,manmohan,name
what do you like to eat?,croissant,food
what do you like to eat?,croissant,food
what do you like to eat?,broccoli,food
what do you like to eat?,cheese,food
what do you like to eat?,tomato,food
what is your name?,iqra,name
what do you like to eat?,bread-whole-wheat,food
what do you like to eat?,french-beans,food
what is your favorite animal?,falcon,animal
what is your name?,bokul,name
what do you like to eat?,egg,food
what is your favorite animal?,snowy,animal
what do you like to eat?,butter,food
what do you like to eat?,salmon,food
what is your favorite color?,urobilin,color
what is your favorite color?,willpower orange,color
what is your favorite color?,dark magenta,color
what is your favorite animal?,tea,invalid
what is your favorite animal?,roundworm,animal
what is your favorite animal?,pig,animal
what is your favorite animal?,balinese,animal
what is your favorite animal?,sumatran,animal
what do you like to eat?,bread-french-white-flour,food
what do you like to eat?,leaf-spinach,food
what is your favorite color?,bear,invalid
what is your favorite color?,lemon,color
what is your favorite animal?,manta,animal
what is your name?,abhaya,name
what do you like to eat?,wine-red,food
what is your favorite color?,lemon meringue,color
what do you like to eat?,laapsi,food
what is your favorite animal?,shepherd,animal
what do you like to eat?,avocado,food
what do you like to eat?,wine-red,food
what is your name?,vangara,name
what do you like to eat?,tomato,food
what is your favorite animal?,bull,animal
what is your favorite animal?,toad,animal
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,tomato-sauce,food
what is your name?,kamya,name
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,howler,animal
what do you like to eat?,tea,food
what do you like to eat?,wine-white,food
what is your name?,koldil duck,invalid
what is your name?,feldspar,invalid
what is your name?,jasraj,name
what is your name?,ajay,name
what do you like to eat?,tea,food
what is your name?,yajin,name
what do you like to eat?,carrot,food
what do you like to eat?,wine-red,food
what do you like to eat?,boisson-au-glucose-50g,food
what is your favorite color?,lavender (web),color
what is your name?,galliform,invalid
what do you like to eat?,zucchini,food
what do you like to eat?,butter,food
what is your favorite color?,spiro disco ball,color
what is your favorite color?,pixie powder,color
what do you like to eat?,rice,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,chips-french-fries,food
what do you like to eat?,salmon,food
what is your favorite animal?,manta,animal
what is your favorite animal?,tea,invalid
what is your name?,subodh,name
what is your favorite animal?,fancy,animal
what do you like to eat?,leaf-spinach,food
what is your favorite color?,copper rose,color
what is your name?,umme,name
what is your favorite animal?,arctic,animal
what do you like to eat?,parmesan,food
what do you like to eat?,butter,food
what do you like to eat?,cucumber,food
what do you like to eat?,egg,food
what is your favorite animal?,palm,animal
what do you like to eat?,onion,food
what do you like to eat?,carrot,food
what do you like to eat?,pizza-margherita-baked,food
what is your name?,monish,name
what is your name?,rahi,name
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,mouse,animal
what is your favorite animal?,catfish,animal
what is your favorite color?,english red,color
what is your favorite animal?,dogfish,animal
what do you like to eat?,mandarine,food
what is your name?,ayesha,name
what is your favorite color?,plump purple,color
what do you like to eat?,hard-cheese,food
what do you like to eat?,tea-green,food
what do you like to eat?,dark-chocolate,food
what do you like to eat?,jam,food
what do you like to eat?,onion,food
what do you like to eat?,apple,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,chicken tikka,food
what is your favorite animal?,american,animal
what is your favorite animal?,wine-white,invalid
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,deep peach,color
what is your favorite animal?,snowy,animal
what is your favorite color?,wild blue yonder,color
what do you like to eat?,corn,food
what do you like to eat?,cheese,food
what is your name?,shubhkarman,name
what do you like to eat?,avocado,food
what do you like to eat?,rice,food
what do you like to eat?,tea,food
what is your favorite animal?,zebra,animal
what is your favorite animal?,coyote,animal
what do you like to eat?,egg,food
what is your favorite animal?,gorilla,animal
what do you like to eat?,onion,food
what is your favorite animal?,penguin,animal
what is your name?,ridhi,name
what do you like to eat?,mixed-nuts,food
what do you like to eat?,almonds,food
what do you like to eat?,mayonnaise,food
what is your name?,prathmesh,name
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,soft-cheese,food
what do you like to eat?,dark-chocolate,food
what is your favorite color?,skobeloff,color
what do you like to eat?,wine-red,food
what do you like to eat?,leaf-spinach,food
what is your favorite color?,nagjibhai,invalid
what do you like to eat?,apple,food
what do you like to eat?,thalipeeth,food
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,parrotfish,animal
what do you like to eat?,soft-cheese,food
what is your favorite animal?,zebra,animal
what do you like to eat?,devasree,invalid
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,coffee-with-caffeine,food
what is your name?,eshana,name
what do you like to eat?,tomato,food
what do you like to eat?,butter,food
what is your favorite color?,carmine,color
what do you like to eat?,mixed-vegetables,food
what is your name?,shrestha,name
what is your favorite color?,brunswick green,color
what is your name?,parijat,name
what do you like to eat?,butter,food
what is your name?,nirvi,name
what is your favorite animal?,stingray,animal
what is your favorite animal?,buffalo,animal
what do you like to eat?,wine-red,food
what is your name?,kaivalya,name
what do you like to eat?,bread-french-white-flour,food
what do you like to eat?,gruyere,food
what is your favorite color?,oxford blue,color
what is your favorite animal?,elephant,animal
what do you like to eat?,hard-cheese,food
what do you like to eat?,mandarine,food
what is your favorite color?,marigold,color
what is your name?,vansha,name
what do you like to eat?,scallop,invalid
what do you like to eat?,sambar,food
what is your favorite animal?,koi,animal
what is your favorite animal?,ray,animal
what is your name?,rithvik,name
what do you like to eat?,apple,food
what do you like to eat?,onion,food
what is your name?,soft-cheese,invalid
what is your name?,ikshita,name
what is your name?,pickle,invalid
what is your favorite animal?,portuguese,animal
what is your name?,netra,name
what is your favorite color?,madder lake,color
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,french-beans,food
what do you like to eat?,honey,food
what is your name?,egg,invalid
what is your favorite color?,rose vale,color
what is your name?,aniruddha,name
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,ham-raw,food
what do you like to eat?,beer,food
what is your favorite animal?,estrela,animal
what do you like to eat?,carrot,food
what do you like to eat?,almonds,food
what is your name?,deepanshu,name
what do you like to eat?,broccoli,food
what do you like to eat?,butter,food
what do you like to eat?,butter,food
what is your name?,saharsh,name
what is your name?,lusha,name
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,butter,food
what do you like to eat?,bread-french-white-flour,food
what is your favorite color?,water-mineral,invalid
what is your favorite animal?,norfolk,animal
what is your name?,shailvi,name
what is your name?,sara,name
what do you like to eat?,rice,food
what do you like to eat?,coffee-with-caffeine,food
what is your name?,saksham,name
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,leaf-spinach,food
what is your favorite color?,rose taupe,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,apple,food
what is your favorite animal?,rhinoceros,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,oyster,animal
what is your favorite color?,gold (metallic),color
what is your name?,ragdoll,invalid
what do you like to eat?,tomato,food
what is your favorite animal?,firefly,animal
what is your name?,kasniya,name
what do you like to eat?,ocean blue,invalid
what is your favorite color?,lust,color
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,soft-cheese,food
what is your name?,sankalp,name
what is your favorite animal?,gibbon,animal
what is your name?,jai,name
what is your favorite animal?,fox,animal
what is your favorite animal?,star,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,white,animal
what do you like to eat?,leaf-spinach,food
what is your favorite animal?,world,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite color?,papaya whip,color
what do you like to eat?,apple,food
what do you like to eat?,tea,food
what is your name?,anukriti,name
what is your favorite color?,china rose,color
what is your favorite animal?,barracuda,animal
what is your name?,dheeraj,name
what is your name?,vaishavi,name
what is your favorite color?,veronica,color
what do you like to eat?,almonds,food
what is your name?,deepa,name
what do you like to eat?,cucumber,food
what is your favorite animal?,vivid yellow,invalid
what do you like to eat?,biscuits,food
what do you like to eat?,shahi tukra,food
what do you like to eat?,bread-wholemeal,food
what is your name?,astha,name
what do you like to eat?,french-beans,food
what is your favorite animal?,tiger,animal
what is your favorite animal?,carolina,animal
what do you like to eat?,french-beans,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite color?,brilliant rose,color
what do you like to eat?,coffee-with-caffeine,food
what is your name?,ehtisham,name
what is your name?,deepshikha,name
what do you like to eat?,tomato,food
what is your favorite animal?,kiwi,animal
what is your favorite color?,byzantium,color
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite color?,medium candy apple red,color
what do you like to eat?,apple,food
what do you like to eat?,sauce-savoury,food
what is your favorite animal?,collie,animal
what is your favorite animal?,leopard,animal
what do you like to eat?,croissant,food
what is your name?,aarush,name
what do you like to eat?,potatoes-steamed,food
what is your favorite animal?,black,animal
what is your name?,lalit,name
what do you like to eat?,tomato,food
what do you like to eat?,hard-cheese,food
what is your favorite animal?,heron,animal
what is your favorite animal?,devil,animal
what do you like to eat?,egg,food
what is your favorite animal?,dog,animal
what is your favorite color?,light brown,color
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,tomato,food
what do you like to eat?,apple,food
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,porpoise,animal
what is your name?,thaanya,name
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,jam,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite color?,international orange (golden gate bridge),color
what do you like to eat?,tomato,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,apple,food
what is your favorite animal?,gibbon,animal
what do you like to eat?,chips-french-fries,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,butter,food
what do you like to eat?,rice,food
what is your favorite color?,pasta-spaghetti,invalid
what do you like to eat?,cucumber,food
what do you like to eat?,chicken,food
what is your favorite animal?,bull,animal
what do you like to eat?,bread-sourdough,food
what is your name?,samay,name
what is your favorite animal?,terrier,animal
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,tomato,food
what do you like to eat?,honey,food
what do you like to eat?,chips-french-fries,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,carrot,food
what do you like to eat?,sweet-pepper,food
what do you like to eat?,sweet-pepper,food
what is your favorite color?,june bud,color
what is your favorite animal?,walrus,animal
what is your favorite color?,fresh air,color
what do you like to eat?,cucumber,food
what do you like to eat?,salmon,food
what is your favorite color?,azure (web color),color
what do you like to eat?,ham-raw,food
what do you like to eat?,parmesan,food
what is your name?,ali,name
what do you like to eat?,carrot,food
what do you like to eat?,thepla,food
what is your name?,mahindar,name
what do you like to eat?,sweet-pepper,food
what is your name?,kamran,name
what is your favorite animal?,donkey,animal
what is your name?,ashutosh,name
what is your favorite color?,mughal green,color
what do you like to eat?,tea-green,food
what do you like to eat?,bread-whole-wheat,food
what is your name?,tariq,name
what do you like to eat?,chicken,food
what do you like to eat?,chevdo,food
what is your favorite color?,up maroon,color
what is your name?,triya,name
what do you like to eat?,mixed-nuts,food
what do you like to eat?,carrot,food
what do you like to eat?,honey,food
what do you like to eat?,potatoes-steamed,food
what is your favorite animal?,beetle,animal
what do you like to eat?,tomato,food
what do you like to eat?,avocado,food
what is your favorite animal?,killer,animal
what is your favorite animal?,domestic,animal
what do you like to eat?,dark-chocolate,food
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,dark midnight blue,color
what is your name?,priyamvada,name
what is your favorite color?,yellow-green,color
what do you like to eat?,mayonnaise,food
what do you like to eat?,hard-cheese,food
what do you like to eat?,salad-leaf-salad-green,food
what is your name?,aakshi,name
what do you like to eat?,zucchini,food
what is your favorite animal?,lizard,animal
what do you like to eat?,satwinder,invalid
what is your name?,meera,name
what is your name?,smita,name
what is your favorite animal?,lynx,animal
what do you like to eat?,wine-red,food
what do you like to eat?,jam,food
what do you like to eat?,rice,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,meadowlark,animal
what do you like to eat?,chips-french-fries,food
what is your favorite animal?,shark,animal
what do you like to eat?,carrot,food
what is your favorite animal?,curly,animal
what do you like to eat?,bread-sourdough,food
what is your favorite animal?,sturgeon,animal
what is your favorite color?,vivid cerise,color
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,mouse,animal
what is your name?,munthala,name
what is your name?,nishu,name
what do you like to eat?,dark-chocolate,food
what is your name?,apple,invalid
what is your name?,kashish,name
what do you like to eat?,butter,food
what do you like to eat?,naan,food
what do you like to eat?,tomato,food
what do you like to eat?,tomato,food
what do you like to eat?,banana,food
what do you like to eat?,cheese,food
what do you like to eat?,beer,food
what is your favorite animal?,wine-red,invalid
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,cucumber,food
what do you like to eat?,croissant,food
what do you like to eat?,tea,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,gar,animal
what is your favorite color?,paradise pink,color
what do you like to eat?,mint cream,invalid
what is your favorite animal?,tarantula,animal
what is your favorite color?,coral red,color
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,zucchini,food
what is your favorite animal?,alpaca,animal
what do you like to eat?,boisson-au-glucose-50g,food
what is your favorite animal?,neurons,animal
what do you like to eat?,banana,food
what is your name?,gitika,name
what do you like to eat?,onion,food
what do you like to eat?,tomato,food
what is your favorite animal?,pig,animal
what do you like to eat?,methi na gota,food
what do you like to eat?,soft-cheese,food
what do you like to eat?,wine-white,food
what is your name?,umaiza,name
what is your favorite animal?,marmoset,animal
what do you like to eat?,rice,food
what is your favorite animal?,macaw,animal
what is your name?,apratim,name
what do you like to eat?,undhiyu,food
what do you like to eat?,chicken,food
what is your name?,bramoni,name
what is your favorite animal?,aldabra,animal
what is your favorite animal?,marsh,animal
what do you like to eat?,potatoes-steamed,food
what is your name?,bhama,name
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,banana,food
what do you like to eat?,carrot,food
what is your favorite animal?,lion,animal
what is your favorite animal?,civet,animal
what do you like to eat?,parmesan,food
what is your favorite animal?,buffalo,animal
what is your favorite animal?,rottweiler,animal
what do you like to eat?,rice,food
what is your favorite color?,gold (web) (golden),color
what do you like to eat?,jam,food
what do you like to eat?,jam,food
what do you like to eat?,tomato,food
what do you like to eat?,rice,food
what do you like to eat?,carrot,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,almonds,food
what do you like to eat?,bread-whole-wheat,food
what is your favorite animal?,peregrine,animal
what do you like to eat?,honey,food
what do you like to eat?,wine-red,food
what is your favorite animal?,sheepdog,animal
what is your name?,shilpa,name
what is your name?,pranav,name
what do you like to eat?,chicken,food
what do you like to eat?,carrot,food
what is your favorite animal?,skunk,animal
what do you like to eat?,mixed-nuts,food
what is your favorite color?,mummy's tomb,color
what do you like to eat?,chips-french-fries,food
what do you like to eat?,jam,food
what is your name?,privrata,name
what do you like to eat?,kansar,food
what is your favorite animal?,chimpanzee,animal
